,winner,point_difference,result,name,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed
122,1,0,0,St. John's (NY),1,9999,9999,122,1985,St. John's,4.22,10.15,14.6,1.24,6.4,21.0,559.0,1235.0,0.453,74.7,0.407,0.307,0.711,1985,13.0,26.5,39.4,1
123,1,0,0,Georgetown,1,9999,9999,123,1985,Georgetown,4.26,6.15,15.1,1.12,6.2,18.0,548.0,1139.0,0.481,75.8,0.441,0.345,0.776,1985,12.1,26.9,39.0,1
124,8,7,2,Villanova,8,1,0,124,1985,Villanova,2.74,5.85,14.9,1.39,9.9,27.0,436.0,859.0,0.508,73.9,0.441,0.364,0.778,1985,9.1,27.0,36.0,1
125,8,7,2,Georgetown,1,0,1,125,1985,Georgetown,4.26,6.15,15.1,1.12,6.2,18.0,548.0,1139.0,0.481,75.8,0.441,0.345,0.776,1985,12.1,26.9,39.0,8
126,1,15,1,Duke,1,1,1,0,1986,Duke,5.96,8.48,15.8,1.19,7.1,20.0,623.0,1166.0,0.534,82.6,0.477,0.355,0.695,1986,12.8,27.5,40.3,16
127,1,15,1,Mississippi Valley State,16,0,0,1,1986,Mississippi Valley State,2.96,7.15,10.6,0.73,8.0,28.0,439.0,1052.0,0.417,67.8,0.366,0.29,0.646,1986,10.8,25.0,35.8,1
128,8,1,1,Old Dominion,8,1,1,2,1986,Old Dominion,2.96,7.07,10.1,0.84,5.6,20.0,509.0,1117.0,0.456,64.6,0.4,0.286,0.687,1986,11.7,27.6,39.3,9
129,8,1,1,West Virginia,9,0,0,3,1986,West Virginia,3.61,7.79,12.4,0.84,5.1,18.0,557.0,1159.0,0.481,70.1,0.424,0.289,0.637,1986,15.0,25.4,40.4,8
130,12,7,2,Virginia,5,0,1,4,1986,Virginia,4.65,5.42,11.6,0.94,5.8,19.0,395.0,821.0,0.481,57.7,0.414,0.304,0.711,1986,8.3,25.9,34.2,12
131,12,7,2,DePaul,12,1,0,5,1986,DePaul,5.11,8.52,14.2,0.98,5.9,18.0,561.0,1125.0,0.499,72.5,0.446,0.325,0.643,1986,11.5,26.0,37.4,5
132,4,9,1,Oklahoma,4,1,1,6,1986,Oklahoma,3.85,6.0,11.9,1.1,7.4,23.0,468.0,970.0,0.482,70.7,0.421,0.324,0.77,1986,8.1,28.2,36.3,13
