,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,name_y,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
50,3,8,1,Gonzaga,11,0,0,50,2011,Gonzaga,3.79,7.39,15.3,1.14,5.8,16.0,688.0,1314.0,0.524,76.7,0.479,0.366,0.759,2011,11.3,26.1,37.4,3,Gonzaga,Gonzaga,13.86,4.01,68.4,111.3,0.531,2011,18.65,5.76,71.1,113.4,0.518,-4.789999999999999,-1.75,-2.6999999999999886,-2.1000000000000085,0.013000000000000012
51,3,11,1,BYU,3,1,1,40,2011,BYU,4.18,7.88,14.5,1.32,8.3,23.0,657.0,1298.0,0.506,81.6,0.452,0.36200000000000004,0.759,2011,11.6,27.1,38.7,14,Brigham Young,Brigham Young,18.65,5.76,71.1,113.4,0.518,2011,13.86,4.01,68.4,111.3,0.531,4.789999999999999,1.75,2.6999999999999886,2.1000000000000085,-0.013000000000000012
52,3,8,1,BYU,3,1,1,51,2011,BYU,4.18,7.88,14.5,1.32,8.3,23.0,657.0,1298.0,0.506,81.6,0.452,0.36200000000000004,0.759,2011,11.6,27.1,38.7,11,Brigham Young,Brigham Young,18.65,5.76,71.1,113.4,0.518,2011,18.65,5.76,71.1,113.4,0.518,0.0,0.0,0.0,0.0,0.0
53,2,1,1,BYU,3,0,0,56,2011,BYU,4.18,7.88,14.5,1.32,8.3,23.0,657.0,1298.0,0.506,81.6,0.452,0.36200000000000004,0.759,2011,11.6,27.1,38.7,2,Brigham Young,Brigham Young,18.65,5.76,71.1,113.4,0.518,2011,18.65,5.76,71.1,113.4,0.518,0.0,0.0,0.0,0.0,0.0
54,3,11,1,Wofford,14,0,0,41,2011,Wofford,2.48,6.76,14.4,1.21,5.8,14.0,668.0,1323.0,0.505,73.8,0.479,0.40700000000000003,0.691,2011,11.1,21.4,32.5,3,Wofford,Wofford,4.35,-1.21,64.6,111.3,0.53,2011,11.7,7.93,66.8,103.8,0.502,-7.35,-9.14,-2.200000000000003,7.5,0.028000000000000025
55,7,3,1,UCLA,7,1,1,42,2011,UCLA,5.81,5.47,14.6,0.98,5.2,16.0,619.0,1216.0,0.509,70.0,0.456,0.32899999999999996,0.6829999999999999,2011,11.8,25.5,37.3,10,UCLA,UCLA,11.7,7.93,66.8,103.8,0.502,2011,4.35,-1.21,64.6,111.3,0.53,7.35,9.14,2.200000000000003,-7.5,-0.028000000000000025
56,2,5,1,UCLA,7,0,0,52,2011,UCLA,5.81,5.47,14.6,0.98,5.2,16.0,619.0,1216.0,0.509,70.0,0.456,0.32899999999999996,0.6829999999999999,2011,11.8,25.5,37.3,2,UCLA,UCLA,11.7,7.93,66.8,103.8,0.502,2011,13.7,11.67,66.0,103.1,0.489,-2.0,-3.74,0.7999999999999972,0.7000000000000028,0.013000000000000012
57,7,3,1,Michigan State,10,0,0,43,2011,Michigan State,4.82,6.36,14.8,1.12,6.4,18.0,582.0,1237.0,0.47,68.5,0.43200000000000005,0.353,0.6990000000000001,2011,11.9,25.1,37.0,7,Michigan State,Michigan State,13.7,11.67,66.0,103.1,0.489,2011,11.7,7.93,66.8,103.8,0.502,2.0,3.74,-0.7999999999999972,-0.7000000000000028,-0.013000000000000012
58,2,13,1,Florida,2,1,1,44,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,15,Florida,Florida,16.27,7.57,63.9,110.3,0.521,2011,16.27,7.57,63.9,110.3,0.521,0.0,0.0,0.0,0.0,0.0
59,2,5,1,Florida,2,1,1,53,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,7,Florida,Florida,16.27,7.57,63.9,110.3,0.521,2011,16.27,7.57,63.9,110.3,0.521,0.0,0.0,0.0,0.0,0.0
60,2,1,1,Florida,2,1,1,57,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,3,Florida,Florida,16.27,7.57,63.9,110.3,0.521,2011,16.27,7.57,63.9,110.3,0.521,0.0,0.0,0.0,0.0,0.0
61,8,6,2,Florida,2,0,1,59,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,8,Florida,Florida,16.27,7.57,63.9,110.3,0.521,2011,16.27,7.57,63.9,110.3,0.521,0.0,0.0,0.0,0.0,0.0
62,2,13,1,UCSB,15,0,0,45,2011,UC Santa Barbara,4.19,7.29,14.5,1.02,7.2,19.0,503.0,997.0,0.505,68.4,0.456,0.375,0.755,2011,8.7,24.0,32.6,2,UC-Santa Barbara,UC-Santa Barbara,1.22,0.12,65.2,102.9,0.523,2011,24.1,7.62,69.7,116.0,0.57,-22.880000000000003,-7.5,-4.5,-13.099999999999994,-0.04699999999999993
63,1,15,1,Kansas,1,1,1,60,2011,Kansas,4.15,7.94,17.9,1.33,7.3,19.0,759.0,1321.0,0.575,82.4,0.514,0.387,0.6809999999999999,2011,11.7,26.9,38.6,16,Kansas,Kansas,24.1,7.62,69.7,116.0,0.57,2011,1.22,0.12,65.2,102.9,0.523,22.880000000000003,7.5,4.5,13.099999999999994,0.04699999999999993
64,1,8,1,Kansas,1,1,1,76,2011,Kansas,4.15,7.94,17.9,1.33,7.3,19.0,759.0,1321.0,0.575,82.4,0.514,0.387,0.6809999999999999,2011,11.7,26.9,38.6,9,Kansas,Kansas,24.1,7.62,69.7,116.0,0.57,2011,24.1,7.62,69.7,116.0,0.57,0.0,0.0,0.0,0.0,0.0
65,1,11,1,Kansas,1,1,1,84,2011,Kansas,4.15,7.94,17.9,1.33,7.3,19.0,759.0,1321.0,0.575,82.4,0.514,0.387,0.6809999999999999,2011,11.7,26.9,38.6,12,Kansas,Kansas,24.1,7.62,69.7,116.0,0.57,2011,24.1,7.62,69.7,116.0,0.57,0.0,0.0,0.0,0.0,0.0
