,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
954,3,7,1,1,5.91,5.59,15.5,1.14,6.6,20.0,676.0,1297.0,0.521,75.0,0.457,0.327,0.667,12.6,28.8,41.3,10,15.3,10.62,70.9,106.1,0.514,11.12,10.23,69.5,104.1,0.496,4.1800000000000015,0.3899999999999988,1.4000000000000057,2.0,0.018000000000000016,1
955,3,10,0,0,3.76,6.85,13.8,1.1,6.4,19.0,655.0,1324.0,0.495,73.7,0.442,0.33299999999999996,0.703,10.7,25.2,35.9,7,11.12,10.23,69.5,104.1,0.496,15.3,10.62,70.9,106.1,0.514,-4.1800000000000015,-0.3899999999999988,-1.4000000000000057,-2.0,-0.018000000000000016,1
956,13,2,1,1,4.26,5.66,18.2,1.52,8.3,23.0,758.0,1483.0,0.511,82.0,0.46,0.364,0.741,14.1,28.4,42.5,15,20.08,11.78,71.7,113.4,0.52,-2.1,-3.8,77.0,105.0,0.518,22.18,15.579999999999998,-5.299999999999997,8.400000000000006,0.0020000000000000018,1
957,13,15,0,0,3.13,6.47,15.7,1.05,8.1,25.0,641.0,1191.0,0.5379999999999999,82.6,0.456,0.331,0.715,10.6,28.3,39.0,2,-2.1,-3.8,77.0,105.0,0.518,20.08,11.78,71.7,113.4,0.52,-22.18,-15.579999999999998,5.299999999999997,-8.400000000000006,-0.0020000000000000018,1
958,8,1,0,1,2.94,5.85,16.6,1.34,7.8,21.0,695.0,1243.0,0.5589999999999999,84.3,0.491,0.369,0.79,9.8,28.6,38.4,9,19.08,9.45,72.3,115.5,0.5589999999999999,15.79,8.5,72.2,109.5,0.532,3.2899999999999987,0.9499999999999992,0.09999999999999433,6.0,0.027000000000000024,2
959,8,9,1,0,5.16,6.71,15.3,1.17,8.0,23.0,658.0,1206.0,0.546,81.8,0.474,0.35100000000000003,0.685,11.7,26.3,38.0,1,15.79,8.5,72.2,109.5,0.532,19.08,9.45,72.3,115.5,0.5589999999999999,-3.2899999999999987,-0.9499999999999992,-0.09999999999999433,-6.0,-0.027000000000000024,2
960,1,5,0,0,4.0,6.03,14.8,1.25,6.8,19.0,678.0,1230.0,0.551,75.8,0.485,0.353,0.726,9.7,26.9,36.6,4,17.67,9.03,67.9,111.0,0.541,18.43,2.59,69.7,118.2,0.57,-0.7599999999999979,6.44,-1.7999999999999972,-7.200000000000002,-0.028999999999999918,2
961,1,4,1,1,3.71,6.44,15.7,1.39,9.1,24.0,740.0,1259.0,0.588,84.5,0.503,0.374,0.722,11.1,28.9,39.9,5,18.43,2.59,69.7,118.2,0.57,17.67,9.03,67.9,111.0,0.541,0.7599999999999979,-6.44,1.7999999999999972,7.200000000000002,0.028999999999999918,2
962,3,6,0,0,3.16,6.38,15.0,1.23,8.7,22.0,613.0,1184.0,0.518,78.1,0.469,0.389,0.7140000000000001,11.9,26.9,38.9,3,15.99,4.16,68.5,112.0,0.5329999999999999,19.03,9.41,65.7,111.0,0.545,-3.0400000000000014,-5.25,2.799999999999997,1.0,-0.012000000000000007,2
963,3,3,1,1,3.17,6.26,14.8,1.62,9.1,25.0,623.0,1135.0,0.5489999999999999,74.5,0.47100000000000003,0.369,0.659,8.6,24.7,33.3,6,19.03,9.41,65.7,111.0,0.545,15.99,4.16,68.5,112.0,0.5329999999999999,3.0400000000000014,5.25,-2.799999999999997,-1.0,0.012000000000000007,2
