,Unnamed: 0,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted
47,1055,1,8,1,Xavier,9,0,0,47,1993,Xavier,3.63,5.74,14.4,1.05,6.3,21.0,531.0,1068.0,0.49700000000000005,70.6,0.431,0.305,0.655,1993,12.0,27.9,39.9,1,Xavier,47,Xavier,10.89,2.75,0.542,1993,25.84,11.09,0.57,-14.95,-8.34,-0.027999999999999914
48,1056,4,1,1,Oklahoma State,5,0,0,48,1993,Oklahoma State,3.93,6.86,11.5,0.89,5.9,19.0,486.0,1045.0,0.465,66.7,0.41100000000000003,0.307,0.7340000000000001,1993,10.6,25.8,36.4,4,Oklahoma State,48,Oklahoma State,14.62,9.9,0.555,1993,14.65,8.85,0.549,-0.030000000000001137,1.0500000000000007,0.006000000000000005
49,1057,4,1,1,Louisville,4,1,1,49,1993,Louisville,2.76,5.07,14.0,1.16,8.3,22.0,525.0,1045.0,0.502,75.0,0.456,0.379,0.732,1993,11.0,27.9,38.8,5,Louisville,49,Louisville,14.65,8.85,0.549,1993,14.62,9.9,0.555,0.030000000000001137,-1.0500000000000007,-0.006000000000000005
50,1058,6,3,2,California,6,1,0,50,1993,California,2.26,4.0,9.1,0.7,5.0,15.0,460.0,1017.0,0.452,62.4,0.42100000000000004,0.341,0.723,1993,8.0,24.6,32.6,3,University of California,50,University of California,12.79,7.26,0.509,1993,25.98,10.76,0.554,-13.190000000000001,-3.5,-0.04500000000000004
51,1059,6,3,2,Duke,3,0,1,51,1993,Duke,5.96,8.48,15.8,1.19,7.1,20.0,623.0,1166.0,0.534,82.6,0.47700000000000004,0.355,0.695,1993,12.8,27.5,40.3,6,Duke,51,Duke,25.98,10.76,0.554,1993,12.79,7.26,0.509,13.190000000000001,3.5,0.04500000000000004
52,1060,2,5,1,BYU,7,0,0,52,1993,BYU,2.13,5.83,17.6,1.61,10.6,25.0,580.0,1033.0,0.561,80.6,0.503,0.42200000000000004,0.706,1993,6.5,26.5,33.0,2,Brigham Young,52,Brigham Young,12.49,4.08,0.54,1993,22.3,10.88,0.565,-9.81,-6.800000000000001,-0.02499999999999991
53,1061,2,5,1,Kansas,2,1,1,53,1993,Kansas,4.93,7.71,14.4,1.13,6.7,19.0,591.0,1066.0,0.5539999999999999,75.3,0.48700000000000004,0.35200000000000004,0.67,1993,10.4,28.1,38.5,7,Kansas,53,Kansas,22.3,10.88,0.565,1993,12.49,4.08,0.54,9.81,6.800000000000001,0.02499999999999991
54,1062,1,3,1,Indiana,1,1,1,54,1993,Indiana,4.33,5.59,13.0,0.99,5.4,17.0,543.0,1076.0,0.505,72.4,0.451,0.324,0.6829999999999999,1993,11.3,26.3,37.6,4,Indiana,54,Indiana,25.84,11.09,0.57,1993,14.65,8.85,0.549,11.19,2.24,0.020999999999999908
55,1063,1,3,1,Louisville,4,0,0,55,1993,Louisville,2.76,5.07,14.0,1.16,8.3,22.0,525.0,1045.0,0.502,75.0,0.456,0.379,0.732,1993,11.0,27.9,38.8,1,Louisville,55,Louisville,14.65,8.85,0.549,1993,25.84,11.09,0.57,-11.19,-2.24,-0.020999999999999908
56,1064,2,4,1,California,6,0,0,56,1993,California,2.26,4.0,9.1,0.7,5.0,15.0,460.0,1017.0,0.452,62.4,0.42100000000000004,0.341,0.723,1993,8.0,24.6,32.6,2,University of California,56,University of California,12.79,7.26,0.509,1993,22.3,10.88,0.565,-9.510000000000002,-3.620000000000001,-0.05599999999999994
